"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"59",3527,29350,6,"BN","Dry",1,560,0.02,130.3285938,6,0,0,0,0,0,1,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.222939908,-0.217222645,-0.237051103,-0.022941422,-0.083335487,-0.295511513,5,0,0,0,0,0,1,0,0
"60",3533,29400,6,"BN","Dry",1,560.7,0.03,130.3315625,6,0,0,0,0,0,1,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.243082153,-0.226745465,-0.23966947,-0.00991291,-0.071075007,-0.29355655,5,0,0,0,0,0,1,0,0
"61",3539,29450,6,"BN","Dry",1,560.57,0.03,130.3890625,7,0,0,0,0,0,1,15,0,0,0,0.625,0.375,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.256555904,-0.231999032,-0.237113947,0.001477728,-0.059984623,-0.288298835,5,0,0,0,0,0,0.714285714,0.285714286,0
"62",3545,29500,6,"BN","Dry",1,559.87,0.02,130.3965625,7,0,0,0,0,0,1,12,0,0.25,0.375,0.125,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.255959482,-0.228100267,-0.225228358,0.00880859,-0.048421979,-0.273729204,1,0,0,0,0,0,0.225,0.775,0
"63",3551,29550,6,"BN","Dry",1,559.81,0.02,130.3973438,6,0,0,0,70.3505254,686.7988929,0,12,0,0.3,0.4,0.2,0,0,0.1,77.978,5.041834104,441.84,5.57,-0.01,0.262484118,-0.23439335,-0.221239407,0.018973915,-0.039372392,-0.271797635,1,0,0,0,0,0,0.115384615,0.884615385,0
"64",3557,29600,6,"BN","Dry",1,559.88,0.02,131.8757813,10,0,0,0,117.3863702,638.5225629,0,15,0,0,0.333333333,0.555555556,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.30963327,-0.275968041,-0.211786776,0.067184686,0.007584548,-0.269544846,1,0,0,0,0,0,0.282051282,0.717948718,0
"65",3563,29650,6,"BN","Dry",1,559.26,0,131.9348438,11,0,0,0,164.0293185,603.0252054,0,15,0,0,0.375,0.625,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.29838861,-0.266609692,-0.2217674,0.055173134,-0.007434106,-0.274612424,5,0,0,0,0,0,0.575,0.425,0
"66",3569,29700,6,"BN","Dry",1,558.96,0.01,131.9420313,7,0,0,0,212.5131729,560.3301466,0,15,0,0.111111111,0.333333333,0.555555556,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.269931047,-0.237852647,-0.228874067,0.022761481,-0.036586617,-0.273056519,5,0,0,0,0,0,0.935064935,0.064935065,0
"67",3575,29750,6,"BN","Dry",1,558.55,0,131.9598438,8,0,0,0,259.3347485,511.8686964,0,12,0,0.25,0.5,0.25,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.259016849,-0.218636535,-0.234878895,0.005441939,-0.052345618,-0.268608129,5,0,0,0,0,0,1,0,0
"68",3581,29800,6,"BN","Dry",1,558.98,0,131.9628125,9,1.222222222,0.111111111,1,305.2733474,462.2170532,0,12,0,0.375,0.625,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.249297463,-0.209006501,-0.239537652,-0.006115514,-0.062265931,-0.268327919,5,0,0,0,0,0,1,0,0
"69",3587,29850,6,"BN","Dry",1,559.42,0.01,132.1379688,12,0.916666667,0.083333333,1,354.5772236,415.7944754,0,4,0,0.75,0.25,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.244135501,-0.202990034,-0.241618294,-0.012357467,-0.069342446,-0.268837967,5,0,0,0,0,0,0.734177215,0.265822785,0
"70",3593,29900,6,"BN","Dry",1,559.5,0.02,132.144375,10,0,0,0,404.5020975,374.6540824,0,4,0,0.833333333,0.166666667,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.241232971,-0.201976695,-0.241837797,-0.014963993,-0.073440375,-0.271576446,1,0,0,0,0,0,0.222222222,0.777777778,0
"71",3599,29950,6,"BN","Dry",1,560.23,0.03,132.14625,6,0,0,0,453.375074,342.1928781,0,4,0,0.777777778,0.222222222,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.236296468,-0.199419506,-0.246128992,-0.025306402,-0.08296521,-0.277886182,1,0,0,0,0,0,0.037037037,0.962962963,0
"72",3605,30000,6,"BN","Dry",1,560.35,0.05,132.1492188,6,0,0,0,486.7202585,304.6134283,0,12,0,0.375,0.625,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.225628782,-0.197634741,-0.260056793,-0.044860961,-0.102961248,-0.29469788,1,0,0,0,0,0,0.25,0.75,0
"73",3611,30050,6,"BN","Dry",1,558.98,0.04,132.1532813,7,3,0.3,1,507.2725667,265.0995386,0,12,0,0,0.888888889,0.111111111,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.221489922,-0.199209781,-0.265827106,-0.054469066,-0.11271018,-0.305137074,1,0,0,0,0,0,0.392405063,0.607594937,0
"74",3617,30100,6,"BN","Dry",1,557.58,0.01,132.1564063,13,8.909090909,1.181818182,3,510.6770475,246.9324911,0,12,0,0,0.777777778,0,0.222222222,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.239677635,-0.210586201,-0.261983146,-0.039894593,-0.098085451,-0.302455172,1,0,0,0,0,0,0.38961039,0.61038961,0
